week_start,class,weighted_n,prevalence
2020-06-29T00:00:00Z,Trusting compliers,271.3948790279999,0.29294299797340845
2020-06-29T00:00:00Z,Disengaged/low-compliance,117.66463543799999,0.12700693242299424
2020-06-29T00:00:00Z,Compliant sceptics,537.3831071550003,0.5800500696035973
2020-07-06T00:00:00Z,Trusting compliers,279.1578375790001,0.29571439320814324
2020-07-06T00:00:00Z,Disengaged/low-compliance,152.99652097399996,0.1620705825605909
2020-07-06T00:00:00Z,Compliant sceptics,511.85730943000027,0.5422150242312659
2020-07-20T00:00:00Z,Trusting compliers,255.439740118,0.266123456698217
2020-07-20T00:00:00Z,Disengaged/low-compliance,174.73534625000005,0.1820436175276748
2020-07-20T00:00:00Z,Compliant sceptics,529.6791981330002,0.5518329257741083
2020-07-27T00:00:00Z,Trusting compliers,268.0764057250001,0.28508018945570446
2020-07-27T00:00:00Z,Disengaged/low-compliance,160.7726268890001,0.17097025308457856
2020-07-27T00:00:00Z,Compliant sceptics,511.50535061,0.543949557459717
2020-08-03T00:00:00Z,Trusting compliers,234.71134733999995,0.23914595303439976
2020-08-03T00:00:00Z,Disengaged/low-compliance,155.90362768499998,0.15884925056580587
2020-08-03T00:00:00Z,Compliant sceptics,590.8415136250007,0.6020047963997943
2020-08-10T00:00:00Z,Trusting compliers,226.45512512600004,0.24062305610818602
2020-08-10T00:00:00Z,Disengaged/low-compliance,183.95748166300004,0.19546659148070886
2020-08-10T00:00:00Z,Compliant sceptics,530.7072043740002,0.5639103524111051
2020-08-17T00:00:00Z,Trusting compliers,187.72230286099992,0.1968364050593043
2020-08-17T00:00:00Z,Disengaged/low-compliance,204.58441333200014,0.21451718755685423
2020-08-17T00:00:00Z,Compliant sceptics,561.390354247001,0.5886464073838414
2020-08-24T00:00:00Z,Trusting compliers,218.67093896999998,0.23148293807930823
2020-08-24T00:00:00Z,Disengaged/low-compliance,210.08758583500014,0.22239668358375958
2020-08-24T00:00:00Z,Compliant sceptics,515.8939873170003,0.5461203783369323
2020-08-31T00:00:00Z,Trusting compliers,236.29660358700022,0.24334589565010167
2020-08-31T00:00:00Z,Disengaged/low-compliance,218.47706947900014,0.2249947622789347
2020-08-31T00:00:00Z,Compliant sceptics,516.258129035,0.5316593420709637
2020-09-07T00:00:00Z,Trusting compliers,217.77384228900002,0.2257865568216049
2020-09-07T00:00:00Z,Disengaged/low-compliance,217.55943552199994,0.22556426122737117
2020-09-07T00:00:00Z,Compliant sceptics,529.1787168559998,0.548649181951024
2020-09-14T00:00:00Z,Trusting compliers,157.513140682,0.1671556797764967
2020-09-14T00:00:00Z,Disengaged/low-compliance,200.27418124800005,0.21253443848076592
2020-09-14T00:00:00Z,Compliant sceptics,584.5266987039998,0.6203098817427374
2020-09-21T00:00:00Z,Trusting compliers,202.66125891899995,0.21368874503365007
2020-09-21T00:00:00Z,Disengaged/low-compliance,173.49688879599995,0.18293744266573372
2020-09-21T00:00:00Z,Compliant sceptics,572.2364852689993,0.6033738123006162
2020-09-28T00:00:00Z,Trusting compliers,221.9517764010001,0.21921630306701706
2020-09-28T00:00:00Z,Disengaged/low-compliance,171.79532794500005,0.16967801423786677
2020-09-28T00:00:00Z,Compliant sceptics,618.7313167190006,0.6111056826951162
2020-10-12T00:00:00Z,Trusting compliers,181.463190873,0.19555645312382322
2020-10-12T00:00:00Z,Disengaged/low-compliance,152.01833990099993,0.16382478020910074
2020-10-12T00:00:00Z,Compliant sceptics,594.4509816760004,0.6406187666670761
2020-10-26T00:00:00Z,Trusting compliers,206.21400106199994,0.21905474993414661
2020-10-26T00:00:00Z,Disengaged/low-compliance,154.1946337440001,0.16379618630174347
2020-10-26T00:00:00Z,Compliant sceptics,580.9724634079993,0.6171490637641099
2020-11-09T00:00:00Z,Trusting compliers,218.81057345500008,0.22950454383478247
2020-11-09T00:00:00Z,Disengaged/low-compliance,109.90296690899994,0.11527427531616317
2020-11-09T00:00:00Z,Compliant sceptics,624.6905613539998,0.6552211808490545
2020-12-14T00:00:00Z,Trusting compliers,207.40101218500007,0.22279267116091236
2020-12-14T00:00:00Z,Disengaged/low-compliance,93.96499607100002,0.10093833318233342
2020-12-14T00:00:00Z,Compliant sceptics,629.5488692589984,0.6762689956567542
2020-12-28T00:00:00Z,Trusting compliers,228.365240351,0.2462118369895463
2020-12-28T00:00:00Z,Disengaged/low-compliance,54.911853495,0.05920317952383853
2020-12-28T00:00:00Z,Compliant sceptics,644.2381838240009,0.6945849834866152
2021-01-11T00:00:00Z,Trusting compliers,216.70428609999988,0.230495223833917
2021-01-11T00:00:00Z,Disengaged/low-compliance,63.557991627,0.06760278612920151
2021-01-11T00:00:00Z,Compliant sceptics,659.9059500369987,0.7019019900368816
2021-01-25T00:00:00Z,Trusting compliers,306.0739400749999,0.32059486777233925
2021-01-25T00:00:00Z,Disengaged/low-compliance,57.906006616000006,0.06065321513400239
2021-01-25T00:00:00Z,Compliant sceptics,590.7263535119997,0.6187519170936584
2021-02-08T00:00:00Z,Trusting compliers,317.3414375350002,0.3375981465270598
2021-02-08T00:00:00Z,Disengaged/low-compliance,59.541247389999995,0.06334191625559822
2021-02-08T00:00:00Z,Compliant sceptics,563.1148855580003,0.5990599372173421
2021-02-22T00:00:00Z,Trusting compliers,371.2742388540001,0.3956366654899252
2021-02-22T00:00:00Z,Disengaged/low-compliance,58.88435733,0.0627482554552342
2021-02-22T00:00:00Z,Compliant sceptics,508.26362612000054,0.5416150790548406
2021-03-08T00:00:00Z,Trusting compliers,361.9935242689999,0.38639177740415975
2021-03-08T00:00:00Z,Disengaged/low-compliance,80.88239237500001,0.08633384095361087
2021-03-08T00:00:00Z,Compliant sceptics,493.98026259699964,0.5272743816422293
2021-03-22T00:00:00Z,Trusting compliers,328.1196679079999,0.3534167548528057
2021-03-22T00:00:00Z,Disengaged/low-compliance,91.111248622,0.0981356650269526
2021-03-22T00:00:00Z,Compliant sceptics,509.1904539979996,0.5484475801202418
2021-04-05T00:00:00Z,Trusting compliers,373.45259292500015,0.39170235677593507
