k,log_likelihood,npar,bic,aic,abic,entropy,smallest_class_pct
1,-296158.94330155774,14,592468.0434572735,592345.8866031155,592423.5513190062,NA,100
2,-282302.6364113296,29,564916.312020558,564663.2728226592,564824.1497341472,0.8106122831291079,25.5
3,-280161.6079311354,44,560795.1374039104,560411.2158622708,560655.304969356,0.6528665009060012,24.2
4,-279124.0305855295,59,558880.8650564395,558366.061171059,558693.3624737415,0.6768987063852627,5.8
5,-278391.09070580703,74,557575.8676407353,556930.1814116141,557340.6949098938,0.6457641740948228,5
6,-278024.6971075372,89,557003.9627879364,556227.3942150744,556721.1199089513,0.6228681060874486,6.3
7,-277754.9924054735,104,556625.4357275498,555717.984810947,556294.9227004213,0.6202432723367395,3.1
