month,class,weighted_n,prevalence
2020-07-01T00:00:00Z,Trusting compliers,1068.7235334709997,0.2853961889681828
2020-07-01T00:00:00Z,Disengaged/low-compliance,598.1241586590005,0.1597254575808511
2020-07-01T00:00:00Z,Compliant sceptics,2077.8537957729986,0.554878353450966
2020-08-01T00:00:00Z,Trusting compliers,872.9050432760001,0.22691203652410813
2020-08-01T00:00:00Z,Disengaged/low-compliance,762.5780794070015,0.19823249543555857
2020-08-01T00:00:00Z,Compliant sceptics,2211.404229118007,0.5748554680403333
2020-09-01T00:00:00Z,Trusting compliers,814.2448454770006,0.21280478902923894
2020-09-01T00:00:00Z,Disengaged/low-compliance,809.8075750450002,0.21164509805496654
2020-09-01T00:00:00Z,Compliant sceptics,2202.200029863996,0.5755501129157945
2020-10-01T00:00:00Z,Trusting compliers,603.1591786799997,0.2116595108480081
2020-10-01T00:00:00Z,Disengaged/low-compliance,469.19409792600027,0.16464873083275627
2020-10-01T00:00:00Z,Compliant sceptics,1777.3139850420066,0.6236917583192357
2020-11-01T00:00:00Z,Trusting compliers,225.28036311100004,0.22858829361312336
2020-11-01T00:00:00Z,Disengaged/low-compliance,118.71717057299996,0.12046036800148914
2020-11-01T00:00:00Z,Compliant sceptics,641.531338115,0.6509513383853874
2020-12-01T00:00:00Z,Trusting compliers,430.88892836800034,0.23861611827293608
2020-12-01T00:00:00Z,Disengaged/low-compliance,137.731850054,0.07627264767955978
2020-12-01T00:00:00Z,Compliant sceptics,1237.162215143996,0.6851112340475042
2021-01-01T00:00:00Z,Trusting compliers,510.7593306329997,0.269567645847559
2021-01-01T00:00:00Z,Disengaged/low-compliance,130.20074734899998,0.06871711752571376
2021-01-01T00:00:00Z,Compliant sceptics,1253.7752083209978,0.6617152366267273
2021-02-01T00:00:00Z,Trusting compliers,704.2064944400001,0.36545580113447523
2021-02-01T00:00:00Z,Disengaged/low-compliance,117.859633652,0.061164569167967656
2021-02-01T00:00:00Z,Compliant sceptics,1104.8604448449998,0.5733796296975572
2021-03-01T00:00:00Z,Trusting compliers,691.4185938359994,0.36983014152102783
2021-03-01T00:00:00Z,Disengaged/low-compliance,174.96786247100007,0.09358786401777063
2021-03-01T00:00:00Z,Compliant sceptics,1003.1707165950007,0.5365819944612016
2021-04-01T00:00:00Z,Trusting compliers,722.1571901299998,0.37946853716170736
2021-04-01T00:00:00Z,Disengaged/low-compliance,220.59566108799984,0.11591536297272634
2021-04-01T00:00:00Z,Compliant sceptics,960.322422245999,0.5046160998655662
2021-05-01T00:00:00Z,Trusting compliers,694.228692100001,0.36666936595652283
2021-05-01T00:00:00Z,Disengaged/low-compliance,313.5596705900001,0.165612177821383
2021-05-01T00:00:00Z,Compliant sceptics,885.5486775860005,0.46771845622209424
2021-06-01T00:00:00Z,Trusting compliers,726.4080968260016,0.2841857571041126
2021-06-01T00:00:00Z,Disengaged/low-compliance,678.5165828230005,0.2654496138462475
2021-06-01T00:00:00Z,Compliant sceptics,1151.1784277980018,0.45036462904964
2021-07-01T00:00:00Z,Trusting compliers,432.6055351110001,0.21355417718979983
2021-07-01T00:00:00Z,Disengaged/low-compliance,650.9920796229997,0.32135991483626153
2021-07-01T00:00:00Z,Compliant sceptics,942.1437723170001,0.46508590797393856
2021-08-01T00:00:00Z,Trusting compliers,380.0106830619997,0.18529969131438126
2021-08-01T00:00:00Z,Disengaged/low-compliance,820.0689518230009,0.3998796097122297
2021-08-01T00:00:00Z,Compliant sceptics,850.7099825530009,0.414820698973389
2021-09-01T00:00:00Z,Trusting compliers,309.0585216350001,0.16768030937243283
2021-09-01T00:00:00Z,Disengaged/low-compliance,791.0049780339989,0.42916130812441794
2021-09-01T00:00:00Z,Compliant sceptics,743.0779090730002,0.4031583825031492
2021-10-01T00:00:00Z,Trusting compliers,265.4382344180003,0.13940544841809646
2021-10-01T00:00:00Z,Disengaged/low-compliance,882.8791388599994,0.463679102302734
2021-10-01T00:00:00Z,Compliant sceptics,755.7562295119995,0.3969154492791695
2021-11-01T00:00:00Z,Trusting compliers,316.7620192939998,0.13357531075551982
2021-11-01T00:00:00Z,Disengaged/low-compliance,1025.538740613,0.4324592205672959
2021-11-01T00:00:00Z,Compliant sceptics,1029.1106746039998,0.4339654686771842
2021-12-01T00:00:00Z,Trusting compliers,315.9205215279998,0.14588614620105372
2021-12-01T00:00:00Z,Disengaged/low-compliance,814.0942624250025,0.37593339620720667
2021-12-01T00:00:00Z,Compliant sceptics,1035.5131277420007,0.4781804575917395
2022-01-01T00:00:00Z,Trusting compliers,302.4541136880002,0.15648645502934466
2022-01-01T00:00:00Z,Disengaged/low-compliance,766.6088791909999,0.39663506121913356
2022-01-01T00:00:00Z,Compliant sceptics,863.7184330359989,0.4468784837515217
2022-02-01T00:00:00Z,Trusting compliers,271.44363089200027,0.15022217368824678
2022-02-01T00:00:00Z,Disengaged/low-compliance,856.586380364001,0.4740515280729685
2022-02-01T00:00:00Z,Compliant sceptics,678.9178195969997,0.3757262982387847
