class,level,weighted_n,pct
1,0,8431.72458939698,79.11115033932171
1,1,929.4828527589991,8.720927364599524
1,2,906.6372002670004,8.506576690578793
1,3,218.32151159800003,2.048414383465125
1,4,99.408891826,0.9327097562225403
1,5+,36.280383116,0.34040282182216475
1,Not stated,36.218121012999994,0.33981864399013856
2,0,7922.996041572995,71.12443169587053
2,1,1321.4693296710002,11.862779507045264
2,2,1210.6723544209965,10.868159308205254
2,3,341.94632077200015,3.069639011276577
2,4,148.97568368300003,1.3373490006633282
2,5+,94.13901099599998,0.8450822924016627
2,Not stated,99.42775945399997,0.8925591845374032
3,0,17655.76622412206,75.4350052249009
3,1,2570.5119845529975,10.9826207780494
3,2,2090.4970906630015,8.931736915577856
3,3,581.4593920750003,2.484309755943567
3,4,219.54180645500006,0.9380016197988948
3,5+,128.95231670500002,0.5509542073067665
3,Not stated,158.54062430800008,0.6773714984226196
