class,measure,weighted_mean
1,cantril_ladder,6.385911576549279
1,phq4_total,3.2456322684033005
2,cantril_ladder,6.1224753278160815
2,phq4_total,3.3711567721701887
3,cantril_ladder,5.789791177190209
3,phq4_total,4.186803613853056
