class,level,weighted_n,pct
1,Full time employment,3449.683663374001,32.36685923772562
1,Full time student,275.32866104799996,2.583287305693436
1,Not working,830.2493284549987,7.78986300443449
1,Other,334.63106458400006,3.139695583961825
1,Part time employment,1365.722751395998,12.813973791718414
1,Retired,3882.760270836012,36.43022589992121
1,Unemployed,519.6978102830001,4.876095176545014
2,Full time employment,5557.613092996003,49.89047965577326
2,Full time student,635.0122874550008,5.700480957979228
2,Not working,591.7245186660007,5.311888317222511
2,Other,270.927602051,2.432106696190729
2,Part time employment,1673.1099556809966,15.019443924761623
2,Retired,1791.502885748001,16.082252718763346
2,Unemployed,619.7361579729998,5.5633477293093145
3,Full time employment,9138.94772280098,39.046539270422976
3,Full time student,1162.6360444790002,4.967411494727852
3,Not working,1884.1312828680016,8.050030305304105
3,Other,909.319684623,3.885106672228397
3,Part time employment,3273.6369364330158,13.98675176537308
3,Retired,5457.25736597401,23.31636207062147
3,Unemployed,1579.3404017029993,6.747798421322112
