class,level,weighted_n,pct
1,East Midlands,844.5957011300001,7.924468687231965
1,East of England,1060.7489147469994,9.952538887756019
1,London,1012.8297857910007,9.502934850672727
1,North East,498.7782147969998,4.679815845314026
1,North West,1220.8244675059987,11.454457147265119
1,Northern Ireland,239.1236183639999,2.2435913698919676
1,Scotland,889.9540563739992,8.35004611481597
1,South East,1493.1931959249976,14.009972711516525
1,South West,1026.1027917390002,9.627469607219133
1,Wales,552.7900104450007,5.186584684867798
1,West Midlands,884.3178241790002,8.297163835775857
1,Yorkshire and the Humber,934.8149689789991,8.770956257672893
2,East Midlands,767.890451176,6.893323139125964
2,East of England,1011.7810223849997,9.082719446053488
2,London,1598.4012305070012,14.348786563222854
2,North East,466.67957897199983,4.189364687838682
2,North West,1235.4503225370017,11.090590177990121
2,Northern Ireland,269.325131221,2.4177213769888857
2,Scotland,793.624810945001,7.124339500111532
2,South East,1619.7559781710022,14.540487314257083
2,South West,916.8853983779999,8.230845067660782
2,Wales,489.43703186700054,4.393657469951586
2,West Midlands,1030.7695967380005,9.253179149994452
2,Yorkshire and the Humber,939.625947672999,8.43498610680456
3,East Midlands,1643.9765565800024,7.023959116868852
3,East of England,2153.5155727600036,9.200986036001648
3,London,3064.4760033490065,13.093102864512533
3,North East,899.3390210570001,3.842463866547125
3,North West,2545.2024732209893,10.874484824314303
3,Northern Ireland,722.4174844420004,3.086559145702099
3,Scotland,2153.7236212850007,9.20187493209208
3,South East,3183.974552111016,13.603665449891263
3,South West,1981.4322573939976,8.46575281933062
3,Wales,1146.4033616809995,4.898056673411268
3,West Midlands,2024.8599312470012,8.651299385954891
3,Yorkshire and the Humber,1885.9486037539968,8.057794885373308
